Volume (micron^3),Surface (micron^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micron),SD dist. to surf. (micron),Median dist. to surf. (micron),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
11.373,50.657,19,19,4845,255,0,255,255,255,170.526,59.842,6.368,1.669,0.995,1.398,170.526,59.842,6.368,169,58,3,4,4,8
4663.716,5056.537,7791,3449,1986705,255,0,255,255,255,58.761,71.878,16.755,11.598,3.748,11.733,58.762,71.879,16.755,37,53,3,36,41,33
7.183,33.839,12,12,3060,255,0,255,255,255,166.833,93.167,5.750,1.569,0.732,1.586,166.833,93.167,5.750,166,93,3,3,2,6
153.242,246.304,256,153,65280,255,0,255,255,255,66.590,98.383,8.141,3.541,1.286,3.410,66.590,98.383,8.141,64,95,3,7,7,12
10.176,45.868,17,17,4335,255,0,255,255,255,124.588,118.353,7.647,2.127,0.966,2.390,124.588,118.353,7.647,124,117,4,2,3,8
77.818,161.955,130,99,33150,255,0,255,255,255,92.169,125.115,8.123,2.795,1.118,2.767,92.169,125.115,8.123,90,122,4,5,7,10
366.345,473.022,612,305,156060,255,0,255,255,255,96.162,17.538,10.435,4.258,0.930,4.295,96.162,17.538,10.435,92,12,5,14,12,12
363.951,420.671,608,290,155040,255,0,255,255,255,156.178,33.257,11.028,4.331,1.084,4.187,156.178,33.257,11.028,153,27,5,8,14,13
1652.144,1870.458,2760,1284,703800,255,0,255,255,255,50.221,45.409,12.609,8.584,2.752,8.417,50.222,45.409,12.609,35,29,5,30,30,17
13.169,78.306,22,22,5610,255,0,255,255,255,143.955,59.727,7.364,1.795,0.747,1.839,143.955,59.727,7.364,141,58,5,7,5,5
1397.139,1501.573,2334,1024,595170,255,0,255,255,255,34.047,105.281,14.083,8.066,2.978,7.562,34.047,105.282,14.083,27,89,5,16,30,22
3316.261,3656.632,5540,2523,1412700,255,0,255,255,255,30.566,153.919,28.263,12.917,6.437,11.635,30.566,153.921,28.263,22,132,5,17,43,49
40.705,118.685,68,58,17340,255,0,255,255,255,205.221,32.059,10.191,2.175,0.900,2.058,205.221,32.059,10.191,203,30,6,5,5,8
861.390,1053.332,1439,722,366945,255,0,255,255,255,45.242,137.784,18.820,7.661,3.183,7.449,45.242,137.784,18.820,39,130,6,17,17,27
40.106,124.818,67,59,17085,255,0,255,255,255,74.567,31.075,11.970,2.063,0.740,2.058,74.567,31.075,11.970,72,28,8,6,6,7
772.797,790.099,1291,547,329205,255,0,255,255,255,17.847,133.133,15.879,5.840,1.751,5.825,17.847,133.133,15.879,11,127,8,14,14,18
1034.386,882.252,1728,616,440640,255,0,255,255,255,10.144,51.469,15.281,5.954,1.148,5.952,10.144,51.469,15.281,3,43,9,16,17,15
22.747,76.612,38,36,9690,255,0,255,255,255,35.474,76.158,12.079,1.883,0.871,1.789,35.474,76.158,12.079,34,75,9,4,4,7
145.461,253.048,243,155,61965,255,0,255,255,255,174.198,20.374,20.486,3.807,1.650,3.639,174.198,20.374,20.486,171,18,13,7,6,16
90.988,178.976,152,112,38760,255,0,255,255,255,17.671,149.632,17.993,3.171,1.313,3.182,17.671,149.632,17.993,16,147,13,5,6,11
966.744,1149.132,1615,746,411825,255,0,255,255,255,183.630,125.877,24.730,6.259,2.021,6.310,183.631,125.877,24.730,176,116,15,16,19,20
2713.468,3046.009,4533,2049,1155915,255,0,255,255,255,195.709,107.803,33.786,10.080,3.543,9.799,195.710,107.803,33.786,182,93,16,25,28,37
1340.871,1383.079,2240,931,571200,255,0,255,255,255,77.192,54.348,28.517,7.527,2.618,7.474,77.192,54.348,28.517,71,41,19,13,27,22
29.930,86.043,50,45,12750,255,0,255,255,255,109.820,11.580,24.200,1.983,0.790,1.860,109.820,11.580,24.200,108,10,21,4,4,8
12.571,47.562,21,21,5355,255,0,255,255,255,29.667,138.762,30.286,1.320,0.507,1.324,29.667,138.762,30.286,28,138,28,4,3,5
190.356,317.517,318,205,81090,255,0,255,255,255,26.220,178.962,34.154,3.704,1.263,3.528,26.220,178.962,34.154,21,174,29,10,10,12
22.148,92.029,37,36,9435,255,0,255,255,255,194.297,77.054,39.865,2.058,0.967,2.046,194.297,77.054,39.865,193,75,36,4,5,8
7.183,30.744,12,12,3060,255,0,255,255,255,184.167,19.583,44.250,1.070,0.387,1.064,184.167,19.583,44.250,183,19,43,3,2,4
1142.733,1054.179,1909,731,486795,255,0,255,255,255,28.381,105.103,54.398,6.869,2.347,6.520,28.381,105.103,54.397,22,98,43,14,15,24
